run_name,scheme,P,mode,vnodes_per_node,n_queries,mean_node_cover,std_node_cover,mean_hops,std_hops,hops_source
op128,Order-preserving,128,baseline,,3,2.0,0.0,4.166666666666667,0.4714045207910317,Avg route hops
snode128,SmartNode,128,snode,,3,3.3333333333333335,0.4714045207910317,3.5,0.408248290463863,Avg route hops
p128v10,VNode v=10,128,vnode,10.0,3,2.6666666666666665,0.9428090415820634,5.25,0.3535533905932738,Avg route hops
p128v100,VNode v=100,128,vnode,100.0,3,3.6666666666666665,1.247219128924647,7.8999999999999995,0.5354126134736336,Avg route hops
p128v1000,VNode v=1000,128,vnode,1000.0,3,10.0,2.160246899469287,9.804333333333332,1.0265074551875188,Avg route hops
p128v10000,VNode v=10000,128,vnode,10000.0,3,24.333333333333332,11.8133634311129,11.671333333333335,0.8229598343108179,Avg route hops
op1024,Order-preserving,1024,baseline,,3,2.6666666666666665,0.9428090415820634,6.5,0.7071067811865476,Avg route hops
snode1024,SmartNode,1024,snode,,3,7.666666666666667,1.247219128924647,6.828666666666666,0.039718453589680076,Avg route hops
p1024v10,VNode v=10,1024,vnode,10.0,3,3.6666666666666665,1.699673171197595,7.777666666666666,0.9060155750439516,Avg route hops
p1024v100,VNode v=100,1024,vnode,100.0,3,8.666666666666666,1.247219128924647,9.382333333333333,0.9413020533046531,Avg route hops
p1024v1000,VNode v=1000,1024,vnode,1000.0,3,25.0,12.96148139681572,11.649333333333333,0.9211740093790942,Avg route hops
p1024v10000,VNode v=10000,1024,vnode,10000.0,3,101.0,74.18894796396563,13.563333333333333,1.1462429449679892,Avg route hops
op8192,Order-preserving,8192,baseline,,3,2.6666666666666665,0.9428090415820634,7.833333333333333,0.9428090415820634,Avg route hops
snode8192,SmartNode,8192,snode,,3,15.333333333333334,4.189935029992179,7.557666666666667,0.8454467589518708,Avg route hops
p8192v10,VNode v=10,8192,vnode,10.0,3,8.333333333333334,1.699673171197595,9.225666666666667,1.314819210216962,Avg route hops
p8192v100,VNode v=100,8192,vnode,100.0,3,23.333333333333332,9.741092797468305,11.183333333333332,0.852275516224393,Avg route hops
p8192v1000,VNode v=1000,8192,vnode,1000.0,3,86.66666666666667,62.291429765435815,13.474333333333334,0.9382118926743334,Avg route hops
